Region,year,Rainfall
Bakool,2000.0,7.0804277777777775
Bakool,2001.0,7.0804277777777775
Bakool,2002.0,7.0804277777777775
Bakool,2003.0,7.0804277777777775
Bakool,2004.0,7.0804277777777775
Bakool,2005.0,7.0804277777777775
Bakool,2006.0,7.0804277777777775
Bakool,2007.0,7.0804277777777775
Bakool,2008.0,7.0804277777777775
Bakool,2009.0,7.0804277777777775
Bakool,2010.0,7.0804277777777775
Bakool,2011.0,7.0804277777777775
Bakool,2012.0,7.0804277777777775
Bakool,2013.0,7.0804277777777775
Bakool,2014.0,7.0804277777777775
Bakool,2015.0,7.0804277777777775
Bakool,2016.0,7.0804277777777775
Bakool,2017.0,7.0804277777777775
Bakool,2018.0,7.0804277777777775
Bakool,2019.0,7.0804277777777775
Bakool,2020.0,7.0804277777777775
Banadir,2000.0,7.8691097222222215
Banadir,2001.0,7.8691097222222215
Banadir,2002.0,7.8691097222222215
Banadir,2003.0,7.8691097222222215
Banadir,2004.0,7.8691097222222215
Banadir,2005.0,7.8691097222222215
Banadir,2006.0,7.8691097222222215
Banadir,2007.0,7.8691097222222215
Banadir,2008.0,7.8691097222222215
Banadir,2009.0,7.8691097222222215
Banadir,2010.0,7.8691097222222215
Banadir,2011.0,7.8691097222222215
Banadir,2012.0,7.8691097222222215
Banadir,2013.0,7.8691097222222215
Banadir,2014.0,7.8691097222222215
Banadir,2015.0,7.8691097222222215
Banadir,2016.0,7.8691097222222215
Banadir,2017.0,7.8691097222222215
Banadir,2018.0,7.8691097222222215
Banadir,2019.0,7.8691097222222215
Banadir,2020.0,7.8691097222222215
Bay,2000.0,4.867221296296297
Bay,2001.0,4.867221296296297
Bay,2002.0,4.867221296296297
Bay,2003.0,4.867221296296297
Bay,2004.0,4.867221296296297
Bay,2005.0,4.867221296296297
Bay,2006.0,4.867221296296297
Bay,2007.0,4.867221296296297
Bay,2008.0,4.867221296296297
Bay,2009.0,4.867221296296297
Bay,2010.0,4.867221296296297
Bay,2011.0,4.867221296296297
Bay,2012.0,4.867221296296297
Bay,2013.0,4.867221296296297
Bay,2014.0,4.867221296296297
Bay,2015.0,4.867221296296297
Bay,2016.0,4.867221296296297
Bay,2017.0,4.867221296296297
Bay,2018.0,4.867221296296297
Bay,2019.0,4.867221296296297
Bay,2020.0,4.867221296296297
Galgaduud,2000.0,3.115819444444445
Galgaduud,2001.0,3.115819444444445
Galgaduud,2002.0,3.115819444444445
Galgaduud,2003.0,3.115819444444445
Galgaduud,2004.0,3.115819444444445
Galgaduud,2005.0,3.115819444444445
Galgaduud,2006.0,3.115819444444445
Galgaduud,2007.0,3.115819444444445
Galgaduud,2008.0,3.115819444444445
Galgaduud,2009.0,3.115819444444445
Galgaduud,2010.0,3.115819444444445
Galgaduud,2011.0,3.115819444444445
Galgaduud,2012.0,3.115819444444445
Galgaduud,2013.0,3.115819444444445
Galgaduud,2014.0,3.115819444444445
Galgaduud,2015.0,3.115819444444445
Galgaduud,2016.0,3.115819444444445
Galgaduud,2017.0,3.115819444444445
Galgaduud,2018.0,3.115819444444445
Galgaduud,2019.0,3.115819444444445
Galgaduud,2020.0,3.115819444444445
Gedo,2000.0,4.390012962962962
Gedo,2001.0,4.390012962962962
Gedo,2002.0,4.390012962962962
Gedo,2003.0,4.390012962962962
Gedo,2004.0,4.390012962962962
Gedo,2005.0,4.390012962962962
Gedo,2006.0,4.390012962962962
Gedo,2007.0,4.390012962962962
Gedo,2008.0,4.390012962962962
Gedo,2009.0,4.390012962962962
Gedo,2010.0,4.390012962962962
Gedo,2011.0,4.390012962962962
Gedo,2012.0,4.390012962962962
Gedo,2013.0,4.390012962962962
Gedo,2014.0,4.390012962962962
Gedo,2015.0,4.390012962962962
Gedo,2016.0,4.390012962962962
Gedo,2017.0,4.390012962962962
Gedo,2018.0,4.390012962962962
Gedo,2019.0,4.390012962962962
Gedo,2020.0,4.390012962962962
Mudug,2000.0,5.351375
Mudug,2001.0,5.351375
Mudug,2002.0,5.351375
Mudug,2003.0,5.351375
Mudug,2004.0,5.351375
Mudug,2005.0,5.351375
Mudug,2006.0,5.351375
Mudug,2007.0,5.351375
Mudug,2008.0,5.351375
Mudug,2009.0,5.351375
Mudug,2010.0,5.351375
Mudug,2011.0,5.351375
Mudug,2012.0,5.351375
Mudug,2013.0,5.351375
Mudug,2014.0,5.351375
Mudug,2015.0,5.351375
Mudug,2016.0,5.351375
Mudug,2017.0,5.351375
Mudug,2018.0,5.351375
Mudug,2019.0,5.351375
Mudug,2020.0,5.351375
Nugaal,2000.0,4.731229166666667
Nugaal,2001.0,4.731229166666667
Nugaal,2002.0,4.731229166666667
Nugaal,2003.0,4.731229166666667
Nugaal,2004.0,4.731229166666667
Nugaal,2005.0,4.731229166666667
Nugaal,2006.0,4.731229166666667
Nugaal,2007.0,4.731229166666667
Nugaal,2008.0,4.731229166666667
Nugaal,2009.0,4.731229166666667
Nugaal,2010.0,4.731229166666667
Nugaal,2011.0,4.731229166666667
Nugaal,2012.0,4.731229166666667
Nugaal,2013.0,4.731229166666667
Nugaal,2014.0,4.731229166666667
Nugaal,2015.0,4.731229166666667
Nugaal,2016.0,4.731229166666667
Nugaal,2017.0,4.731229166666667
Nugaal,2018.0,4.731229166666667
Nugaal,2019.0,4.731229166666667
Nugaal,2020.0,4.731229166666667
Sool,2000.0,6.436895833333333
Sool,2001.0,6.436895833333333
Sool,2002.0,6.436895833333333
Sool,2003.0,6.436895833333333
Sool,2004.0,6.436895833333333
Sool,2005.0,6.436895833333333
Sool,2006.0,6.436895833333333
Sool,2007.0,6.436895833333333
Sool,2008.0,6.436895833333333
Sool,2009.0,6.436895833333333
Sool,2010.0,6.436895833333333
Sool,2011.0,6.436895833333333
Sool,2012.0,6.436895833333333
Sool,2013.0,6.436895833333333
Sool,2014.0,6.436895833333333
Sool,2015.0,6.436895833333333
Sool,2016.0,6.436895833333333
Sool,2017.0,6.436895833333333
Sool,2018.0,6.436895833333333
Sool,2019.0,6.436895833333333
Sool,2020.0,6.436895833333333
